"全片镜号","集","段","镜","全片开始秒","集内开始秒","集内结束秒","段内开始秒","设计时长","H3兜底生成秒","景别","运镜","人物","道具","中文内容","首帧","可选尾帧","目标视频文件","字幕/对白","声音","后期叠加","剪辑备注"
"101","3","E03-10","1","323.5","105.5","109","0","3.5","4","大特写","推镜","程野","无核心道具","动作：程野把油纸清单摊在责任书旁。；程野：“六桶溶剂，私章也在。”（指向清单）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f2.png","generated-videos/E03-10/E03-10-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-10/镜1","参见 offline-production/sound-music-cues.csv：E03-10","无","可用首尾帧约束；按设计时长回切"
"102","3","E03-10","2","327","109","112.5","3.5","3.5","4","特写","固定","许知遥","无核心道具","许知遥：“还差事故船上的原始联单。”（不被胜利冲昏）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f3.png","generated-videos/E03-10/E03-10-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-10/镜2","参见 offline-production/sound-music-cues.csv：E03-10","无","可用首尾帧约束；按设计时长回切"
"103","3","E03-10","3","330.5","112.5","116","7","3.5","4","大特写","固定","许知遥、程野","橙色应急电台","动作：她把音轨继续拖向许潮登船前的空白段。；动作：耳机里突然传来许潮奔向栈桥的脚步声。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f3.png","","generated-videos/E03-10/E03-10-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-10/镜3","参见 offline-production/sound-music-cues.csv：E03-10","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"104","4","E04-01","1","334","0","5","0","5","5","大特写","推镜","许知遥、高嵩","橙色应急电台","动作：为抢在次日九点拆迁前复核并转移剩余湿纸，许知遥与程野连夜返回货仓；程野留在门外备份取证，高嵩快步穿过门口，张开手臂拦住抱着电台离开的许知遥。；高嵩：“跑这么急，是怕我先找到那张清单？”（语气从容，像在谈一笔普通生意）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f2.png","generated-videos/E04-01/E04-01-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-01/镜1","参见 offline-production/sound-music-cues.csv：E04-01","无","可用首尾帧约束；按设计时长回切"
"105","4","E04-01","2","339","5","8.5","5","3.5","4","特写","固定","许知遥","橙色应急电台","许知遥：“我怕的是你把货仓推平。”（站定，声音冷静）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f3.png","generated-videos/E04-01/E04-01-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-01/镜2","参见 offline-production/sound-music-cues.csv：E04-01","无","可用首尾帧约束；按设计时长回切"
"106","4","E04-01","3","342.5","8.5","12.5","8.5","4","4","大特写","固定","许知遥、高嵩","橙色应急电台","动作：许知遥把电台收进外套内侧，转身走向门口。；动作：高嵩从文件夹里抽出一页房产资料，递到她面前。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f3.png","","generated-videos/E04-01/E04-01-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-01/镜3","参见 offline-production/sound-music-cues.csv：E04-01","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"107","4","E04-02","1","346.5","12.5","17.5","0","5","5","大特写","推镜","高嵩","橙色应急电台","高嵩：“城里一套房，换电台和清单。今晚就签。”（音量不高，句句留出逼人答应的停顿）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f2.png","generated-videos/E04-02/E04-02-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-02/镜1","参见 offline-production/sound-music-cues.csv：E04-02","无","可用首尾帧约束；按设计时长回切"
"108","4","E04-02","2","351.5","17.5","22.5","5","5","5","特写","固定","许知遥","无核心道具","许知遥：“你买得这么急，说明六桶不是笔误。”（盯着他，不接资料）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f3.png","generated-videos/E04-02/E04-02-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-02/镜2","参见 offline-production/sound-music-cues.csv：E04-02","无","可用首尾帧约束；按设计时长回切"
"109","4","E04-02","3","356.5","22.5","26.5","10","4","4","大特写","固定","高嵩","无核心道具","动作：高嵩收回资料，反手把货仓门关上。；高嵩：“多出来的溶剂，我没否认。”（笑意不变）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f3.png","","generated-videos/E04-02/E04-02-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-02/镜3","参见 offline-production/sound-music-cues.csv：E04-02","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"110","4","E04-03","1","360.5","26.5","30","0","3.5","4","特写","推镜","许知遥","无核心道具","许知遥：“那晚是谁开的船？”（追问得很快）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f2.png","generated-videos/E04-03/E04-03-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-03/镜1","参见 offline-production/sound-music-cues.csv：E04-03","无","可用首尾帧约束；按设计时长回切"
"111","4","E04-03","2","364","30","33.5","3.5","3.5","4","特写","固定","高嵩","无核心道具","高嵩：“雷打下来，谁开都一样。”（轻描淡写）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f3.png","generated-videos/E04-03/E04-03-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-03/镜2","参见 offline-production/sound-music-cues.csv：E04-03","无","可用首尾帧约束；按设计时长回切"
"112","4","E04-03","3","367.5","33.5","37","7","3.5","4","大特写","固定","许知遥","无核心道具","许知遥：“我爸被锁在这儿。”（压住怒意）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f3.png","","generated-videos/E04-03/E04-03-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-03/镜3","参见 offline-production/sound-music-cues.csv：E04-03","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"113","4","E04-04","1","371","37","42","0","5","5","特写","推镜","高嵩","无核心道具","动作：高嵩转身拍了拍锈蚀的钢门。；高嵩：“他后来签了字，因为他知道许潮上了船。”（替死者下结论）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f2.png","generated-videos/E04-04/E04-04-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-04/镜1","参见 offline-production/sound-music-cues.csv：E04-04","无","可用首尾帧约束；按设计时长回切"
"114","4","E04-04","2","376","42","45","5","3","3","特写","固定","许知遥","无核心道具","许知遥：“我哥为什么会在货仓？”（不让他绕开）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f3.png","generated-videos/E04-04/E04-04-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-04/镜2","参见 offline-production/sound-music-cues.csv：E04-04","无","可用首尾帧约束；按设计时长回切"
"115","4","E04-04","3","379","45","48.5","8","3.5","4","大特写","固定","高嵩","橙色应急电台","高嵩：“他偷了电台，想学大人报险。”（语气里带着轻蔑）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f4.png","generated-videos/E04-04/E04-04-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-04/镜3","参见 offline-production/sound-music-cues.csv：E04-04","无","可用首尾帧约束；按设计时长回切"
"116","4","E04-04","4","382.5","48.5","52","11.5","3.5","4","特写","推镜","高嵩","无核心道具","高嵩：“最后，他把自己送上了船。”（刻意放慢）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f4.png","","generated-videos/E04-04/E04-04-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-04/镜4","参见 offline-production/sound-music-cues.csv：E04-04","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"117","4","E04-05","1","386","52","56.5","0","4.5","5","大特写","固定","程野、许知遥","无核心道具","动作：门外的程野抬起手机，把收音口贴近门缝。；许知遥：“你连一个不能开口的孩子都要推过去。”（声线更低）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-05\f2.png","generated-videos/E04-05/E04-05-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-05/镜1","参见 offline-production/sound-music-cues.csv：E04-05","无","可用首尾帧约束；按设计时长回切"
"118","4","E04-05","2","390.5","56.5","61.5","4.5","5","5","特写","固定","高嵩","无核心道具","高嵩：“我是在提醒你，查下去，你连最后的家也保不住。”（礼貌中露出威胁）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-05\f3.png","generated-videos/E04-05/E04-05-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-05/镜2","参见 offline-production/sound-music-cues.csv：E04-05","无","可用首尾帧约束；按设计时长回切"
"119","4","E04-05","3","395.5","61.5","65","9.5","3.5","4","中景","跟拍","高嵩","无核心道具","动作：高嵩低头看见门缝下晃动的人影。；动作：高嵩一把拉开货仓门。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-05\f3.png","","generated-videos/E04-05/E04-05-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-05/镜3","参见 offline-production/sound-music-cues.csv：E04-05","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"120","4","E04-06","1","399","65","68.5","0","3.5","4","全景","固定","程野、高嵩","无核心道具","动作：程野后退两步，手机仍举在胸前。；高嵩：“录到了什么？”（笑意已经消失）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-06\f2.png","generated-videos/E04-06/E04-06-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-06/镜1","参见 offline-production/sound-music-cues.csv：E04-06","无","可用首尾帧约束；按设计时长回切"
"121","4","E04-06","2","402.5","68.5","71.5","3.5","3","3","特写","固定","程野","无核心道具","程野：“够你解释很久。”（短促，转身前回答）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-06\f3.png","generated-videos/E04-06/E04-06-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-06/镜2","参见 offline-production/sound-music-cues.csv：E04-06","无","可用首尾帧约束；按设计时长回切"
"122","4","E04-06","3","405.5","71.5","74.5","6.5","3","3","中景","跟拍","程野、高嵩","无核心道具","动作：程野转身跑向候船厅，高嵩立即追了出去。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-06\f3.png","","generated-videos/E04-06/E04-06-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-06/镜3","参见 offline-production/sound-music-cues.csv：E04-06","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"123","4","E04-07","1","408.5","74.5","78","0","3.5","4","大特写","跟拍","许知遥、程野、高嵩","橙色应急电台","动作：程野跑下石阶，许知遥抱着电台紧跟在后。；动作：高嵩转身夺过电台，用力摔在石阶上。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f2.png","generated-videos/E04-07/E04-07-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-07/镜1","参见 offline-production/sound-music-cues.csv：E04-07","无","可用首尾帧约束；按设计时长回切"
"124","4","E04-07","2","412","78","81.5","3.5","3.5","4","特写","固定","高嵩","橙色应急电台","动作：橙色外壳裂开，存储板从缝里滑了出来。；高嵩：“现在，你还剩什么？”（呼吸略乱，重新挤出笑）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f3.png","generated-videos/E04-07/E04-07-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-07/镜2","参见 offline-production/sound-music-cues.csv：E04-07","无","可用首尾帧约束；按设计时长回切"
"125","4","E04-07","3","415.5","81.5","85","7","3.5","4","大特写","固定","许知遥","橙色应急电台","动作：许知遥蹲下捡起裂开的电台。；许知遥：“三份备份。”（平静得没有停顿）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f4.png","generated-videos/E04-07/E04-07-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-07/镜3","参见 offline-production/sound-music-cues.csv：E04-07","无","可用首尾帧约束；按设计时长回切"
"126","4","E04-07","4","419","85","89","10.5","4","4","特写","推镜","高嵩、许知遥","橙色应急电台","动作：高嵩停在石阶上，没有再往前走。；许知遥：“档案修复，从来不在原介质上做。”（把断裂存储板装回外壳）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-07\f4.png","","generated-videos/E04-07/E04-07-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-07/镜4","参见 offline-production/sound-music-cues.csv：E04-07","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"127","4","E04-08","1","423","89","94","0","5","5","特写","固定","程野、许知遥","无核心道具","程野：“你毁掉的，只是我们愿意让你看见的那份。”（站到许知遥身边）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-08\f2.png","generated-videos/E04-08/E04-08-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-08/镜1","参见 offline-production/sound-music-cues.csv：E04-08","无","可用首尾帧约束；按设计时长回切"
"128","4","E04-08","2","428","94","97.5","5","3.5","4","特写","固定","高嵩","无核心道具","动作：高嵩转身指向黑暗中的货仓。；高嵩：“明早九点，拆迁启动。”（不再掩饰威胁）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-08\f3.png","generated-videos/E04-08/E04-08-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-08/镜2","参见 offline-production/sound-music-cues.csv：E04-08","无","可用首尾帧约束；按设计时长回切"
"129","4","E04-08","3","431.5","97.5","101","8.5","3.5","4","大特写","推镜","高嵩","无核心道具","高嵩：“里面的湿纸，一张都留不住。”（目光落在程野的手机上）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-08\f3.png","","generated-videos/E04-08/E04-08-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-08/镜3","参见 offline-production/sound-music-cues.csv：E04-08","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"130","4","E04-09","1","435","101","105","0","4","4","特写","固定","程野","无核心道具","程野：“你越急，水下那份东西越值得找。”（故意把水下两个字说重）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f2.png","generated-videos/E04-09/E04-09-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-09/镜1","参见 offline-production/sound-music-cues.csv：E04-09","无","可用首尾帧约束；按设计时长回切"
"131","4","E04-09","2","439","105","108.5","4","3.5","4","特写","固定","高嵩、许知遥","无核心道具","动作：高嵩沿着栈桥快步离开。；许知遥：“刚才录到了多少？”（立刻转向程野）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f3.png","generated-videos/E04-09/E04-09-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-09/镜2","参见 offline-production/sound-music-cues.csv：E04-09","无","可用首尾帧约束；按设计时长回切"
"132","4","E04-09","3","442.5","108.5","112","7.5","3.5","4","大特写","跟拍","程野","无核心道具","动作：程野点开手机里的残缺录音。；动作：爆音过后，手机里挤出三个断续词组。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f4.png","generated-videos/E04-09/E04-09-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-09/镜3","参见 offline-production/sound-music-cues.csv：E04-09","无","可用首尾帧约束；按设计时长回切"
"133","4","E04-09","4","446","112","116","11","4","4","特写","固定","许知遥、程野","无核心道具","高嵩：“她的学籍……住处……让他签。”（来自手机残录，失真而断裂）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-09\f4.png","","generated-videos/E04-09/E04-09-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E04-09/镜4","参见 offline-production/sound-music-cues.csv：E04-09","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"134","5","E05-01","1","450","0","4","0","4","4","中景","跟拍","程野","无核心道具","动作：程野根据十五年前自己丢下半块船牌的位置，并结合许潮录音里奔向栈桥的脚步方向，沿防波堤快步跑下消波块，冲向退潮后露出的水线。；动作：他把安全绳扣在坡面的锈环上。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f2.png","generated-videos/E05-01/E05-01-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-01/镜1","参见 offline-production/sound-music-cues.csv：E05-01","无","可用首尾帧约束；按设计时长回切"
"135","5","E05-01","2","454","4","7.5","4","3.5","4","特写","固定","程野","无核心道具","程野：“知遥，给我十五分钟。”（对着耳机，已经开始调整呼吸）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f3.png","generated-videos/E05-01/E05-01-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-01/镜2","参见 offline-production/sound-music-cues.csv：E05-01","无","可用首尾帧约束；按设计时长回切"
"136","5","E05-01","3","457.5","7.5","11.5","7.5","4","4","特写","固定","程野","无核心道具","画外信息：“退潮只剩十二分钟，别逞强。”（许知遥从电话里传来，克制而急促）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f3.png","","generated-videos/E05-01/E05-01-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-01/镜3","参见 offline-production/sound-music-cues.csv：E05-01","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"137","5","E05-02","1","461.5","11.5","15.5","0","4","4","特写","推镜","程野","无核心道具","程野：“十五年前，我已经退过一次。”（短暂停顿后说完）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f2.png","generated-videos/E05-02/E05-02-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-02/镜1","参见 offline-production/sound-music-cues.csv：E05-02","无","可用首尾帧约束；按设计时长回切"
"138","5","E05-02","2","465.5","15.5","19.5","4","4","4","全景","右摇","程野","无核心道具","动作：程野戴好面镜，转身滑入黑色江水。；动作：安全绳沿着湿滑混凝土不断向水里移动。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f3.png","generated-videos/E05-02/E05-02-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-02/镜2","参见 offline-production/sound-music-cues.csv：E05-02","无","可用首尾帧约束；按设计时长回切"
"139","5","E05-02","3","469.5","19.5","23","8","3.5","4","特写","固定","程野","无核心道具","画外信息：“程野，回话。”（许知遥从耳机里呼叫）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f3.png","","generated-videos/E05-02/E05-02-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-02/镜3","参见 offline-production/sound-music-cues.csv：E05-02","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"140","5","E05-03","1","473","23","27","0","4","4","特写","推镜","程野","真正的载货联单","动作：程野突然浮出水面，双臂抱住一只锈死的金属筒。；程野：“找到了。”（喘息很重）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-03\f2.png","generated-videos/E05-03/E05-03-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-03/镜1","参见 offline-production/sound-music-cues.csv：E05-03","无","可用首尾帧约束；按设计时长回切"
"141","5","E05-03","2","477","27","31","4","4","4","中景","右摇","程野","真正的载货联单","动作：他拖着金属筒爬上混凝土坡面。；动作：程野拧开筒盖。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-03\f2.png","","generated-videos/E05-03/E05-03-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-03/镜2","参见 offline-production/sound-music-cues.csv：E05-03","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"142","5","E05-04","1","481","31","35","0","4","4","特写","固定","程野","真正的载货联单、锈蚀金属文件筒","动作：同一只文件筒的筒盖已经完全旋下；唯一一卷湿联单只滑出一部分，仍留在筒内。程野闭口听许知遥画外下令：‘别展开，马上带回来。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f2.png","generated-videos/E05-04/E05-04-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-04/镜1","参见 offline-production/sound-music-cues.csv：E05-04","无","可用首尾帧约束；按设计时长回切"
"143","5","E05-04","2","485","35","38","4","3","3","特写","推镜","程野","锈蚀金属文件筒","程野把同一只独立筒盖举到右侧头灯下，辨认无字的半月划痕：‘筒盖上有许潮的潮记。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f3.png","generated-videos/E05-04/E05-04-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-04/镜2","参见 offline-production/sound-music-cues.csv：E05-04","无","可用首尾帧约束；按设计时长回切"
"144","5","E05-04","3","488","38","41","7","3","3","全景","跟拍","程野","锈蚀金属文件筒","动作：程野已把唯一联单完整放回筒内并旋紧同一只筒盖；画面外无纸张。他抱筒沿消波块向岸上奔跑。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f3.png","","generated-videos/E05-04/E05-04-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-04/镜3","参见 offline-production/sound-music-cues.csv：E05-04","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"145","5","E05-05","1","491","41","44.5","0","3.5","4","中景","固定","许知遥","橙色应急电台","动作：许知遥闭口按下一个无字播放控件；同一台摔裂电台保持未修复状态，屏幕只出现发动机声带和一个沉闷爆音尖峰，不显示文字或时间码。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f2.png","generated-videos/E05-05/E05-05-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-05/镜1","参见 offline-production/sound-music-cues.csv：E05-05","无","可用首尾帧约束；按设计时长回切"
"146","5","E05-05","2","494.5","44.5","49","3.5","4.5","5","特写","固定","许知遥","橙色应急电台","许潮：“高嵩开的船，他要赶在检查前运走六桶。”（来自旧录音，压低声音快速报告）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f3.png","generated-videos/E05-05/E05-05-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-05/镜2","参见 offline-production/sound-music-cues.csv：E05-05","无","可用首尾帧约束；按设计时长回切"
"147","5","E05-05","3","499","49","52.5","8","3.5","4","中景","固定","许知遥、程野","真正的载货联单","动作：镜头开始时许知遥已经戴好薄手套；程野放下唯一一张潮湿卷曲的联单，她开始慢慢展开。联单尚未装袋。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f3.png","","generated-videos/E05-05/E05-05-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-05/镜3","参见 offline-production/sound-music-cues.csv：E05-05","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"148","5","E05-06","1","502.5","52.5","56.5","0","4","4","特写","推镜","许知遥","真正的载货联单","许知遥：“六行编号，和货仓清单一模一样。”（逐行核对）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f2.png","generated-videos/E05-06/E05-06-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-06/镜1","参见 offline-production/sound-music-cues.csv：E05-06","无","可用首尾帧约束；按设计时长回切"
